Comments,Processed Comments
"they could qualify sana for the affordable housing, baka may way if wala silang pag-ibig contributions. pero mas napupunta kasi doon sa may balak pang gawing rental/airbnb","['they could qualify sana for the affordable housing, baka may way if wala silang pag-ibig contributions. pero mas napupunta', 'kasi doon sa may balak pang gawing rental/airbnb']"
The fact na merong purok leader means aware ang LGU na meron mga nakatira dyan at hinayaan lang nila. ano na Yorme? Puro lang pala salita lol,"['The fact na merong purok leader means aware ang LGU na meron mga nakatira dyan at hinayaan lang nila. ano na Yorme?', 'Puro lang pala salita lol']"
grabe yung jumper na tubig at kuryente if ever loss ng companies na ichacharge sa actual na users,['grabe yung jumper na tubig at kuryente if ever loss ng companies na ichacharge sa actual na users']
"ito yong causes niya kaya nagkaganyan include weak structural designs, the use of low-quality materials, poor construction practices, and unstable foundations.","['ito yong causes niya', 'kaya nagkaganyan include weak structural designs, the use of low-quality materials, poor construction practices, and unstable foundations.']"
so paano nagkaroon ng permit yan??????,['so paano nagkaroon ng permit yan??????']
Damn bumabawi si Senator Erwin! Im all for him now.,"['Damn bumabawi si Senator Erwin!', 'Im all for him now.']"
Both side have their own AGENDA. Wala na makakapagpabangon ng image ng senate.,"['Both side have their own AGENDA.', 'Wala na makakapagpabangon ng image ng senate.']"
"well Cayetano wants bato to attend pero online! LIKE WHAT??? And Cayetano added pa na mag botohan raw kung sino ang agree!! That's why Risa, Bam, Lito, Win and other senators walked out.","['well Cayetano wants bato to attend', 'pero online!', 'LIKE WHAT???', 'And Cayetano added pa na mag botohan raw kung sino ang agree!!', 'That's why Risa, Bam, Lito, Win and other senators walked out.']"
Sa dami ng nangyayari nakakalimutan na ata yung issue about flood control,['Sa dami ng nangyayari nakakalimutan na ata yung issue about flood control']
Tama ba pagkakaintindi ko kay Cayetano? Need bumoto and AFTER na lang ang discussion? Anong klaseng process yan?,"['Tama ba pagkakaintindi ko kay Cayetano?', 'Need bumoto and AFTER na lang ang discussion?', 'Anong klaseng process yan?']"
