Comments,Processed Comments
sige dun ka sa side ng NPA na kunwari pinaglalaban mga magsasaka pero kinukuha mga ani nila at pinipilit pa silang pakainin mga patay gutom na mga rebelde,['sige dun ka sa side ng NPA na kunwari pinaglalaban mga magsasaka pero kinukuha mga ani nila at pinipilit pa silang pakainin mga patay gutom na mga rebelde']
in training pa lang,['in training pa lang']
combat veteran na yun bumabak na eh,"['combat veteran na yun', 'bumabak na eh']"
Oh may bobo una sa lahat taga UP diliman ka tapos asa negros ka ano un fieldtrip  na research pa,"['Oh may bobo una sa lahat taga UP diliman ka tapos asa negros ka', 'ano un fieldtrip na research pa']"
", planted? Pag may sundalong namatay? Planted din ba? Pag hanay nyo nawalan dami nyong ngaw ngaw at alibi. Kakampi nyo pa ang human rights! Wake up, sinisira lang ng kinabukasan nyo. Think of the hardship of your parents sending you to school para magkaroon lang kayo ng magandang buhay. Isa ka rin na activista na nalason o na brainwash!","['planted?', 'Pag may sundalong namatay?', 'Planted din ba?', 'Pag hanay nyo nawalan dami nyong ngaw ngaw at alibi.', 'Kakampi nyo pa ang human rights!', 'Wake up', 'sinisira lang ng kinabukasan nyo.', 'Think of the hardship of your parents sending you to school para magkaroon lang kayo ng magandang buhay.', 'Isa ka rin na activista na nalason o na brainwash!']"
"yung previous kasi.. inairstrike yan sila.. tas yung mga katawan na ""cornbeef"" daw sabi nung mga nag retrieval.. lol..","['yung previous kasi..', 'inairstrike yan sila..', 'tas yung mga katawan na ""cornbeef"" daw sabi nung mga nag retrieval..', 'lol..']"
imagine mo na lang pag natamaan ka ng airstrike.,['imagine mo na lang pag natamaan ka ng airstrike.']
ok na yan kaysa nuclear pg yan kahit anino mu nd na mag.eexist sa map,"['ok na yan','kaysa nuclear pg yan kahit anino mu nd na mag.eexist sa map']"
"no mali ka , kaya ginawang cornbip ang term sa NPA pag na eliminate, literally ksi nagiging giniling o durog na karne sila pag na air strike o na bombahan, literal na lasog lasog hindi yan sa kinakain, alam ko nag umpisa yang term na yan simula ng maka acquire pinas ng attack helicopter","['no mali ka', 'kaya ginawang cornbip ang term sa NPA pag na eliminate', 'literally ksi nagiging giniling o durog na karne sila pag na air strike o na bombahan', 'literal na lasog lasog hindi yan sa kinakain', 'alam ko nag umpisa yang term na yan simula ng maka acquire pinas ng attack helicopter']"
hahhaha .. mapalad na kumander. Kumander Iyot ng NPA,"['hahhaha ..', 'mapalad na kumander.', 'Kumander Iyot ng NPA']"
sayang walang vid limited edition na sana kasi fertilizer na yung actress,['sayang walang vid limited edition na sana kasi fertilizer na yung actress']
na may samang Perma Debuff (AIDs/HIV),['na may samang Perma Debuff (AIDs/HIV)']
"okay lang daw, para naman sa bayan 😅","['okay lang daw', 'para naman sa bayan 😅']"
Маркес Марк walang vid sayang limited edition sana ang rarity fertilizer na yung actress,"['walang vid sayang', 'limited edition sana ang rarity fertilizer na yung actress']"
"from what I learned, aside from Alyssa who were unalive, there was also a teacher from that fight(???) it might be a small possibility na (idk what word to form) like brainwash or somesht? Idk","['from what I learned', 'aside from Alyssa who were unalive', 'there was also a teacher from that fight(???)', 'it might be a small possibility na (idk what word to form) like brainwash or somesht?', 'Idk']"
"pano yun sa air strike sasabhin ng afp ""oh yung mga non combatant umalis muna kayo aatake kami""balik nalang kayo ulet pagtapos na ganon?","['pano yun sa air strike sasabhin ng afp ""oh yung mga non combatant umalis muna kayo aatake kami""', 'balik nalang kayo ulet pagtapos na ganon?']"
"according sa mga pictures na na post, the 19 fallen npa was wearing a full gear combat .","['according sa mga pictures na na post', 'the 19 fallen npa was wearing a full gear combat .']"
"tanga ka ba??? May radar naman, pag red yung nagpakita kalaban tas pag green lang di yan combatants. Di ka kasi naglalaro mg War Front 2","['tanga ka ba???', 'May radar naman', 'pag red yung nagpakita kalaban tas pag green lang di yan combatants.', 'Di ka kasi naglalaro mg War Front 2']"
"di ka lang align sa agenda. Di mo ba napansin yung mga napapasali sa kilusan iisa mindset, iisa muka iisa itsura.","['di ka lang align sa agenda.', 'Di mo ba napansin yung mga napapasali sa kilusan iisa mindset', 'iisa muka iisa itsura.']"
Tsaka explain mo kung bakit kung walang nang bbrainwash bakit may sumasali sa kilusan? At bakit may namamatay na kagaya niyan?,"['Tsaka explain mo kung bakit kung walang nang bbrainwash bakit may sumasali sa kilusan?', 'At bakit may namamatay na kagaya niyan?']"
"kaya feeling ng pamilya nito ni Alyssa? Ano kaya nasa isip nila? 

Walay pulos na ideolohiya. Sayang sa kinabuhi.","['kaya feeling ng pamilya nito ni Alyssa?', 'Ano kaya nasa isip nila?', 'Walay pulos na ideolohiya.', 'Sayang sa kinabuhi.']"
NANDITO NA SYA BADDIEEE😂,['NANDITO NA SYA BADDIEEE😂']
gusto na nila mamatay e narape rape na sila e,['gusto na nila mamatay e narape rape na sila e']
"Nope, it’s the “durog durog” na katawan after ratratin nun in-airstrike sila.","['Nope', 'it’s the “durog durog” na katawan after ratratin nun in-airstrike sila.']"
Corned beef na….,['Corned beef na….']
